"","countrycode","year","gdppc","growth","UDel_pop_preci","UDel_pop_temp"
"2784","CYP",2017,30758.31231,0.040961352320469,351.196247401429,18.7679444743868
"2785","CZE",1960,NA,NA,703.912267753281,7.72053468069461
"2786","CZE",1961,NA,NA,607.511756545583,8.31088314519888
"2787","CZE",1962,NA,NA,614.370236286725,6.73534402973754
"2788","CZE",1963,NA,NA,585.731558511051,6.76248809102599
"2789","CZE",1964,NA,NA,566.080529210365,7.37118484869453
"2790","CZE",1965,NA,NA,738.055033683264,6.8506275657179
"2791","CZE",1966,NA,NA,782.108676177343,8.34393057859612
"2792","CZE",1967,NA,NA,630.15119980823,8.55636348396408
"2793","CZE",1968,NA,NA,657.657349205738,7.86710352861695
"2794","CZE",1969,NA,NA,528.122216231411,7.30954955497365
"2795","CZE",1970,NA,NA,732.874938241801,7.22900131478369
"2796","CZE",1971,NA,NA,543.029368860172,7.83602897218998
"2797","CZE",1972,NA,NA,587.767230060549,7.62501457639846
"2798","CZE",1973,NA,NA,509.799746000938,7.59395159821529
"2799","CZE",1974,NA,NA,716.49228811268,8.2826573770975
"2800","CZE",1975,NA,NA,582.980691830301,8.38054209716067
"2801","CZE",1976,NA,NA,544.500688985657,7.65823100699373
"2802","CZE",1977,NA,NA,703.617507724757,7.97752710652128
"2803","CZE",1978,NA,NA,613.839151733103,7.10698833549963
"2804","CZE",1979,NA,NA,693.047211342273,7.50806191590591
"2805","CZE",1980,NA,NA,658.15778615335,6.56916593061605
"2806","CZE",1981,NA,NA,770.443894409575,7.68668674364818
"2807","CZE",1982,NA,NA,475.15785637338,8.18670018386218
"2808","CZE",1983,NA,NA,529.137452507488,8.49626081475946
"2809","CZE",1984,NA,NA,580.000417419089,7.35458488703699
"2810","CZE",1985,NA,NA,642.772316732805,6.72603769945186
"2811","CZE",1986,NA,NA,643.61656970789,7.4314076643028
"2812","CZE",1987,NA,NA,696.86664639356,6.83688444257851
"2813","CZE",1988,NA,NA,651.722700769609,8.19625961950514
"2814","CZE",1989,NA,NA,539.708498363718,8.62747477330175
"2815","CZE",1990,11626.62587,NA,548.147542132469,8.58286698877121
"2816","CZE",1991,10300.89916,-0.121066612966098,533.261469236434,7.34062702446397
"2817","CZE",1992,10238.24768,-0.00610070854499156,547.709674146832,8.70034492342261
"2818","CZE",1993,10233.94219,-0.000420618418528917,605.207807929363,7.73015035753721
"2819","CZE",1994,10527.87569,0.0283167054031814,629.74984466099,8.96790364930607
"2820","CZE",1995,11219.15007,0.0635955789359137,713.772830024738,7.93397469297579
"2821","CZE",1996,11711.31541,0.0429333576071684,599.986527416428,6.29489910696567
"2822","CZE",1997,11663.17382,-0.00411916235657372,562.405456179606,7.58765986324774
"2823","CZE",1998,11632.6029,-0.00262459053556086,644.519442158015,8.1279691573681
"2824","CZE",1999,11805.67184,0.014768329792858,529.934721476081,8.31894150644159
"2825","CZE",2000,12312.49777,0.0420347449851732,504.81319365321,9.08727286539288
"2826","CZE",2001,12734.92203,0.0337331605341831,576.919494809594,7.75479819139385
"2827","CZE",2002,12959.81748,0.0175056215760012,690.024785952457,8.61534916143414
"2828","CZE",2003,13428.09962,0.0354958904249774,447.393962609026,8.37795135921166
"2829","CZE",2004,14070.28046,0.0467153062022199,587.059577481102,7.98654840081432
"2830","CZE",2005,14978.41319,0.0625452397879958,648.514417499311,7.77505641711011
"2831","CZE",2006,15948.74529,0.0627701170260053,641.660811587604,8.30444822394447
"2832","CZE",2007,16739.17872,0.048371841993081,681.477356954932,9.03290524332624
"2833","CZE",2008,17046.88503,0.018215487924957,593.12647698616,8.87413162433302
"2834","CZE",2009,16160.62056,-0.0533900375051104,686.609928512005,8.44965700078646
"2835","CZE",2010,16505.9537,0.0211436927802175,825.291445399256,7.18057549373634
"2836","CZE",2011,16761.82731,0.0153829710278046,587.475558043169,8.65935488256174
"2837","CZE",2012,16606.99254,-0.00928027313742241,643.868991006512,8.48218017269602
"2838","CZE",2013,16593.86423,-0.000790841680693433,692.328727840973,8.01121917164939
"2839","CZE",2014,16951.37912,0.0213161921927316,661.088518721463,9.532818850555
"2840","CZE",2015,17829.69832,0.0505163174054264,498.264481284328,9.47426552257815
"2841","CZE",2016,18247.01173,0.0231358138657765,652.114584971833,8.7929794697139
"2842","CZE",2017,19139.23988,0.0477393457479973,723.613201644903,8.66440433021563
"2843","DEU",1960,NA,NA,868.351727993207,8.9427668975213
"2844","DEU",1961,NA,NA,882.426763375277,9.53106499272595
"2845","DEU",1962,NA,NA,703.740964135794,7.65971773774455
"2846","DEU",1963,NA,NA,661.872602664632,7.56684286994487
"2847","DEU",1964,NA,NA,634.888591055733,8.63761550732448
"2848","DEU",1965,NA,NA,1015.88833791354,8.07411159260285
"2849","DEU",1966,NA,NA,983.772991000276,9.09557159927065
