"","countrycode","UDel_t_pop","year"
"702","THA",27.071742457657,1902
"703","TJK",10.9014370359296,1902
"704","TKM",15.6853562657711,1902
"705","TLS",25.163658103171,1902
"706","TON",NA,1902
"707","TTO",25.7961213067748,1902
"708","TUN",18.7525740432594,1902
"709","TUR",12.2518419025875,1902
"710","TWN",20.2623730934665,1902
"711","TZA",22.0887060875719,1902
"712","UGA",22.1680161405422,1902
"713","UKR",6.90668731508625,1902
"714","URY",18.0319329996991,1902
"715","USA",13.2640889275594,1902
"716","UZB",14.032479249767,1902
"717","VAT",15.5,1902
"718","VCT",26.7,1902
"719","VEN",24.2683574789706,1902
"720","VGB",NA,1902
"721","VIR",26.6,1902
"722","VNM",25.0320506390167,1902
"723","VUT",24.8921548984691,1902
"724","PSE",19.2858349753335,1902
"725","WLF",NA,1902
"726","WSM",25.8,1902
"727","YEM",22.7072497815573,1902
"728","ZAF",17.1584203679549,1902
"729","ZMB",20.8341928565385,1902
"730","ZWE",19.708356178736,1902
"731","TUV",NA,1902
"732","GUF",27.4374899369244,1902
"733","ABW",NA,1903
"734","AFG",10.362373651298,1903
"735","AGO",21.3891304715213,1903
"736","AIA",NA,1903
"737","ALB",13.0801552073118,1903
"738","ALA",6.1,1903
"739","AND",9.41343330390883,1903
"740","ARE",26.3222854530802,1903
"741","ARG",16.6613147308668,1903
"742","ARM",7.16682248357453,1903
"743","ASM",NA,1903
"744","ATA",NA,1903
"745","Ashm",NA,1903
"746","ATF",NA,1903
"747","ATG",NA,1903
"748","AUS",16.3088068235156,1903
"749","AUT",7.48579937873603,1903
"750","AZE",11.8966324731932,1903
"751","BDI",19.8760469984932,1903
"752","BEL",9.99252324604979,1903
"753","BEN",27.2553622589548,1903
"754","BFA",28.2759226356272,1903
"755","BGD",25.3300273281663,1903
"756","BGR",10.6926057204006,1903
"757","BHR",NA,1903
"758","BHS",24.9658747629259,1903
"759","BIH",8.46775512328209,1903
"760","BLM",NA,1903
"761","BLR",6.95285500184377,1903
"762","BLZ",25.431862684751,1903
"763","BMU",NA,1903
"764","BOL",17.2658767210156,1903
"765","BRA",21.6386156865329,1903
"766","BRB",NA,1903
"767","BRN",27.0679496889694,1903
"768","BTN",12.4668628838961,1903
"769","BWA",20.9585304090739,1903
"770","CAF",25.0556561062512,1903
"771","CAN",5.13366398736574,1903
"772","CHE",7.19606176055844,1903
"773","CHL",9.5391919844598,1903
"774","CHN",13.9390485744698,1903
"775","CIV",26.390938042879,1903
"776","CMR",24.0701746706288,1903
"777","COD",22.9984160160336,1903
"778","COG",24.6557631740458,1903
"779","COK",24,1903
"780","COL",19.6947504842936,1903
"781","COM",24.7,1903
"782","CPV",20.9,1903
"783","CRI",21.8361336682898,1903
"784","CUB",25.0190775983079,1903
"785","CUW",NA,1903
"786","CYM",27.8,1903
"787","CYN",18.1484538093589,1903
"788","CYP",17.1827778205526,1903
"789","CZE",8.20514339113192,1903
"790","DEU",8.99834858696588,1903
"791","DJI",27.585047915357,1903
"792","DMA",NA,1903
"793","DNK",7.83995469811646,1903
"794","DOM",24.4506668794939,1903
"795","DZA",16.4276944537659,1903
"796","ECU",18.6895304959936,1903
"797","EGY",20.3164006197022,1903
"798","ERI",22.2668679006381,1903
"799","ESP",13.8631358869498,1903
"800","EST",5.9222002028135,1903
"801","ETH",19.0279776812626,1903
"802","FIN",4.20622166573452,1903
"803","FJI",23.3804698902046,1903
"804","FLK",6.06941077754747,1903
"805","FRA",10.5776431197299,1903
"806","FRO",NA,1903
"807","FSM",NA,1903
"808","GAB",24.8189921888306,1903
"809","Gaza",19.3,1903
"810","GBR",9.10852792201444,1903
"811","GEO",10.321686990443,1903
"812","GGY",NA,1903
"813","GHA",26.4921174584671,1903
"814","GIN",25.27258690357,1903
"815","GMB",26.5852277126245,1903
"816","GNB",26.9105767700061,1903
"817","GNQ",24.3206585022909,1903
"818","GRC",15.0041388832737,1903
"819","GRD",NA,1903
"820","GRL",-4.86995834452959,1903
"821","GTM",21.7386245252762,1903
"822","GUM",NA,1903
"823","GUY",26.648038831821,1903
"824","HKG",22.1,1903
"825","HMD",NA,1903
"826","HND",23.5634071652415,1903
"827","HRV",11.3844138303322,1903
"828","HTI",23.5639052328863,1903
"829","HUN",10.4906759009391,1903
"830","IDN",24.5573539532308,1903
"831","IMN",NA,1903
"832","IND",25.4022847500305,1903
"833","IOA",NA,1903
"834","IOT",NA,1903
"835","IRL",8.06982948228712,1903
